wavelength,kabs,ksca,gsca,kext,Av
0.099999962,62826.016,19374.591,0.47931805,82200.607,6.8365710870353
0.10019827,62513.274,19372.33,0.47952374,81885.604,6.81037249214987
0.10039697,62201.342,19370.726,0.47972642,81572.068,6.78429590670149
0.10059606,61891.374,19369.423,0.47992242,81260.797,6.75840769983177
0.10079555,61582.968,19368.719,0.48011287,80951.687,6.73269922192827
0.10099543,61275.52,19368.428,0.48029789,80643.948,6.70710476920418
0.10119571,60969.845,19368.452,0.48047413,80338.297,6.68168397408373
0.10139639,60665.407,19369.094,0.48064496,80034.501,6.65641745810829
0.10159746,60362.812,19369.958,0.48081458,79732.77,6.63132268684142
0.10179894,60060.89,19371.22,0.48097497,79432.11,6.60631698994884
0.10200081,59761.023,19372.929,0.48113372,79133.952,6.58151938277098
0.10220308,59462.515,19375.047,0.48128341,78837.562,6.55686881900462
0.10240576,59165.694,19377.741,0.48143135,78543.435,6.53240646747824
0.10260883,58816.605,19370.233,0.48175176,78186.838,6.50274852663209
0.10281231,58446.907,19360.24,0.48217101,77807.147,6.4711698728077
0.1030162,58078.708,19351.407,0.48259305,77430.115,6.43981236628604
0.10322048,57711.605,19343.15,0.48301,77054.755,6.40859391891825
0.10342518,57346.384,19335.839,0.48341797,76682.223,6.37761067447341
0.10363027,56982.049,19329.193,0.48381889,76311.242,6.34675642569104
0.10383578,56619.408,19323.252,0.48421323,75942.66,6.3161017001803
0.10404169,56257.518,19318.115,0.48459849,75575.633,6.28557630300943
0.10424801,55897.358,19314.11,0.48497821,75211.468,6.25528893651942
0.10445474,55539.053,19310.177,0.48534594,74849.23,6.22516183736764
0.10466188,55181.806,19307.471,0.48570798,74489.277,6.19522478018154
0.10486943,54826.146,19305.635,0.48607444,74131.781,6.16549207008937
0.10507739,54486.782,19299.971,0.4864942,73786.753,6.13679631545805
0.10528577,54175.742,19286.617,0.48701649,73462.359,6.10981667720298
0.10549456,53867.238,19274.162,0.48753416,73141.4,6.08312272566654
0.10570376,53561.246,19261.899,0.48804075,72823.145,6.05665366405359
0.10591337,53257.358,19250.341,0.48854436,72507.699,6.03041822514594
0.10612341,52956.229,19239.731,0.48904175,72195.96,6.00449109502023
0.10633385,52656.762,19229.4,0.48953068,71886.162,5.97872539660365
0.10654472,52358.751,19219.979,0.49001441,71578.73,5.95315647687013
0.10675601,52062.214,19209.223,0.49047522,71271.437,5.92759911767632
0.10696771,51767.469,19196.552,0.49090262,70964.021,5.90203152865241
0.10717983,51474.183,19183.783,0.49132442,70657.966,5.8765771331144
0.10739238,51182.95,19171.938,0.49173895,70354.888,5.85137033273254
0.10760534,50892.483,19159.994,0.4921455,70052.477,5.82621900630741
0.10781873,50604.646,19149.006,0.49254741,69753.652,5.80136592517282
0.10803254,50349.773,19137.279,0.49296673,69487.052,5.77919297635501
0.10824677,50095.125,19126.337,0.49338053,69221.462,5.75710402858111
0.10846143,49840.161,19115.919,0.49378041,68956.08,5.7350323800321
0.10867652,49586.673,19105.706,0.49417129,68692.379,5.71310053916112
0.10889203,49332.993,19090.68,0.49451155,68423.673,5.69075243569136
0.10910797,49079.614,19074.628,0.49482426,68154.242,5.66834403444256
0.10932434,48827.022,19058.665,0.49513057,67885.687,5.64600848954471
0.10954113,48575.249,19043.077,0.49542507,67618.326,5.62377224885125
0.10975836,48324.74,19027.32,0.49571337,67352.06,5.60162707859648
0.10997602,48075.264,19011.729,0.49598743,67086.993,5.57958162839284
0.11019411,47826.572,18996.592,0.49625528,66823.164,5.557639141845
0.11041263,47578.979,18981.45,0.49651372,66560.429,5.53578764256651
0.11063158,47333.242,18966.623,0.49676436,66299.865,5.51411670394774
0.11085097,47088.472,18951.317,0.49700353,66039.789,5.49248635197198
0.11107079,46869.405,18934.333,0.49721899,65803.738,5.47285414363967
0.11129105,46699.609,18916.97,0.49743441,65616.579,5.45728825118734
0.11151175,46529.011,18899.652,0.49764907,65428.663,5.44165939953675
0.11173288,46356.187,18882.581,0.49785426,65238.768,5.42586595574171
0.11195446,46183.046,18865.481,0.4980559,65048.527,5.41004373535144
0.11217647,46008.714,18848.179,0.49825303,64856.893,5.39410566005604
0.11239892,45832.992,18831.076,0.49844405,64664.068,5.37806853006432
0.11262182,45656.321,18814.253,0.49863277,64470.574,5.36197575977718
0.11284515,45478.058,18797.353,0.49881746,64275.411,5.34574417984421
0.11306893,45299.17,18778.693,0.49898213,64077.863,5.32931424101052
0.11329315,45119.361,18757.504,0.49912401,63876.865,5.31259736791794
0.11351782,44939.123,18736.499,0.49926225,63675.622,5.29586011833452
0.11374293,44756.708,18715.696,0.49939598,63472.404,5.27895860928404
0.11396849,44573.701,18694.938,0.49953108,63268.639,5.26201160659889
0.1141945,44389.127,18674.609,0.49966056,63063.736,5.24496995719299
