wavelength,Acoff,Scoff,Av
0.099999962,62826.016,19374.591,29.2023397749423
0.10019827,62513.274,19372.33,29.0569732734933
0.10039697,62201.342,19370.726,28.9119832704558
0.10059606,61891.374,19369.423,28.7679061598626
0.10079555,61582.968,19368.719,28.6245550869467
0.10099543,61275.52,19368.428,28.4816493047446
0.10119571,60969.845,19368.452,28.3395676357317
0.10139639,60665.407,19369.094,28.1980609402188
0.10159746,60362.812,19369.958,28.057410894795
0.10179894,60060.89,19371.22,27.9170736684216
0.10200081,59761.023,19372.929,27.7776916324623
0.10220308,59462.515,19375.047,27.6389412771709
0.10240576,59165.694,19377.741,27.5009750611636
0.10260883,58816.605,19370.233,27.3387140069262
0.10281231,58446.907,19360.24,27.1668736245897
0.1030162,58078.708,19351.407,26.9957299967207
0.10322048,57711.605,19343.15,26.8250958037393
0.10342518,57346.384,19335.839,26.6553363885482
0.10363027,56982.049,19329.193,26.4859887975454
0.10383578,56619.408,19323.252,26.3174285995165
0.10404169,56257.518,19318.115,26.1492174759407
0.10424801,55897.358,19314.11,25.9818104786015
0.10445474,55539.053,19310.177,25.8152657091057
0.10466188,55181.806,19307.471,25.649212711609
0.10486943,54826.146,19305.635,25.4838973721108
0.10507739,54486.782,19299.971,25.3261566228743
0.10528577,54175.742,19286.617,25.1815812329021
0.10549456,53867.238,19274.162,25.0381846083266
0.10570376,53561.246,19261.899,24.8959555936392
0.10591337,53257.358,19250.341,24.7547045451957
0.10612341,52956.229,19239.731,24.6147359154152
0.10633385,52656.762,19229.4,24.4755398045973
0.10654472,52358.751,19219.979,24.3370204612942
0.10675601,52062.214,19209.223,24.1991862521373
0.10696771,51767.469,19196.552,24.0621849876139
0.10717983,51474.183,19183.783,23.9258618850439
0.10739238,51182.95,19171.938,23.7904930432622
0.10760534,50892.483,19159.994,23.6554802481264
0.10781873,50604.646,19149.006,23.5216899107954
0.10803254,50349.773,19137.279,23.4032216643693
0.10824677,50095.125,19126.337,23.2848580008353
0.10846143,49840.161,19115.919,23.1663474564395
0.10867652,49586.673,19105.706,23.0485229758156
0.10889203,49332.993,19090.68,22.9306092511237
0.10910797,49079.614,19074.628,22.8128354351009
0.10932434,48827.022,19058.665,22.6954274267937
0.10954113,48575.249,19043.077,22.5784001002137
0.10975836,48324.74,19027.32,22.4619602970805
0.10997602,48075.264,19011.729,22.3460006456251
0.11019411,47826.572,18996.592,22.2304054074468
0.11041263,47578.979,18981.45,22.1153209985946
0.11063158,47333.242,18966.623,22.0010992823987
0.11085097,47088.472,18951.317,21.8873270402321
0.11107079,46869.405,18934.333,21.7855018828407
0.11129105,46699.609,18916.97,21.7065785195571
0.11151175,46529.011,18899.652,21.627282376365
0.11173288,46356.187,18882.581,21.5469515597609
0.11195446,46183.046,18865.481,21.4664733974822
0.11217647,46008.714,18848.179,21.3854416430948
0.11239892,45832.992,18831.076,21.3037637988411
0.11262182,45656.321,18814.253,21.2216448471893
0.11284515,45478.058,18797.353,21.1387859134746
0.11306893,45299.17,18778.693,21.0556364717265
0.11329315,45119.361,18757.504,20.9720589373402
0.11351782,44939.123,18736.499,20.8882819982398
0.11374293,44756.708,18715.696,20.8034931615571
0.11396849,44573.701,18694.938,20.7184291556651
0.1141945,44389.127,18674.609,20.6326367880316
0.11442095,44202.898,18653.677,20.5460751551255
0.11464785,44016.337,18633.285,20.459359204352
0.11487521,43838.632,18613.006,20.3767596362096
0.11510301,43682.505,18592.301,20.3041897998214
0.11533127,43526.655,18571.339,20.2317487165936
0.11555997,43369.672,18550.696,20.1587810004028
0.11578914,43213.285,18529.894,20.0860903126726
0.11601875,43056.871,18508.961,20.0133870749955
0.11624883,42899.892,18488.461,19.940421218056
0.11647935,42742.431,18467.844,19.8672313213212
0.11671034,42585.198,18447.449,19.7941474019169
0.11694178,42426.833,18427.101,19.7205373143625
0.11717368,42269.348,18406.456,19.6473362621191
0.11740605,42111.375,18386.859,19.5739083812032
0.11763887,41953.936,18369.296,19.5007287103512
0.11787215,41796.573,18351.724,19.427584365276
0.1181059,41645.827,18333.874,19.3575156868528
0.11834011,41502.891,18316.022,19.2910771968159
0.11857479,41359.603,18298.815,19.2244750926546
0.11880993,41216.238,18281.048,19.1578371979036
0.11904553,41073.765,18263.361,19.0916139162179
0.11928161,40929.686,18246.228,19.0246441450895
0.11951815,40786.271,18228.903,18.9579830096958
0.11975516,40642.533,18217.023,18.8911717397504
0.11999264,40498.572,18209.513,18.8242568165386
0.1202306,40354.712,18201.963,18.7573888394251
0.12046902,40210.059,18194.877,18.6901522657186
0.12070792,40066.028,18187.602,18.6232048056071
0.12094729,39921.108,18180.773,18.5558441268688
0.12118713,39776.319,18173.918,18.4885443386143
0.12142745,39631.511,18167.075,18.4212357189156
0.12166825,39493.849,18160.513,18.3572486518684
0.12190953,39363.866,18154.518,18.2968308827238
0.12215128,39232.844,18159.327,18.2359301730243
0.12239351,39101.045,18165.85,18.1746683037375
0.12263623,38968.992,18172.929,18.113288371986
0.12287942,38837.012,18180.263,18.0519423715728
0.1231231,38704.58,18188.273,17.9903862757498
0.12336726,38572.211,18196.661,17.9288594631365
0.1236119,38439.578,18205.284,17.8672099399299
0.12385703,38306.612,18214.654,17.8054056340431
0.12410265,38173.304,18224.345,17.7434423621603
0.12434875,38039.214,18234.338,17.6811156066261
0.12459534,37902.176,18244.913,17.6174185827996
0.12484242,37764.93,18256.067,17.5536248778995
0.12508999,37631.989,18267.387,17.491832192334
0.12533805,37505.286,18279.444,17.432939009349
0.1255866,37378.133,18291.936,17.3738366605799
0.12583565,37251.157,18304.83,17.314816583686
0.12608519,37123.249,18318.503,17.2553633012124
0.12633522,36995.69,18332.384,17.1960722384248
0.12658575,36866.965,18347.241,17.13623920385
0.12683678,36735.923,18358.542,17.0753291978934
0.12708831,36603.098,18367.925,17.0135904306189
0.12734033,36469.601,18377.622,16.9515393091068
0.12759285,36335.657,18387.234,16.8892804162492
0.12784588,36201.589,18397.216,16.8269638865978
0.1280994,36073.329,18407.962,16.7673469899998
